"complex_id","complex_name","complex_creator","complex_state","complex_ready_date","low_price","high_price","complex_location","complex_location_dist_to_center","complex_metro","complex_location_coords","complex_location_coords_lat","complex_location_coords_lon","geocoding_accurate","complex_closest_metro","complex_dist_to_metro","complex_apartment_count","apartment_address","apartment_seller","apartment_seller_tel","apartment_selling_type","apartment_building_type","apartment_ready_date","official_offer","apartment_type","apartment_total_area","apartment_living_area","apartment_kitchen_area","apartment_floor_number","apartment_floor_total","apartment_has_service_elevator","apartment_has_pass_elevator","apartment_has_balkony","apartment_has_loggia","apartment_closest_metro","apartment_closest_metro_dist_time","apartment_closest_metro_dist_type","apartment_price_meter","apartment_price","apartment_link","apartment_building_type_n","apartment_type_n","apartment_complex_state_n","apartment_ready_date_n","apartment_ready_date_diff","apartment_is_last_floor","apartment_is_first_floor","complex_metro_dist","complex_metro_dist_type","apartment_price_pred","percents","apartment_benefit_price","predict_error"
1743,"ЖК «Северная Долина»","ГлавстройСпб","Строится"," IV квартал 2014 года ",43000,151000,"Санкт-Петербург, пос. Парголово, район Выборгский, ул. Валерия Гаврилина, 3А",13903.7491424309,"Парнас, 5 мин. пешком","60.073503:30.3336247",60.073503,30.3336247,TRUE,"Парнас",725.121537587476,2298,"Санкт-Петербург, пос. Парголово, район Выборгский, Заречная ул.","ID:11656509","+7 812 389-69...","новостройка","кирпично-монолитный"," 2017 год",TRUE,"1-комнатная",40,16.3,10.2,18,27,FALSE,TRUE,FALSE,TRUE,"Парнас",5,"пешком",63250,2530000,"http://spb.cian.ru/sale/flat/143130896/","кирпично-монолитный","1-комнатная","Строится",2017-09-01,437,FALSE,FALSE,5,"пешком",2690124.59856649,6.33,160125,2.2061963190184
1743,"ЖК «Северная Долина»","ГлавстройСпб","Строится"," IV квартал 2014 года ",43000,151000,"Санкт-Петербург, пос. Парголово, район Выборгский, ул. Валерия Гаврилина, 3А",13903.7491424309,"Парнас, 5 мин. пешком","60.073503:30.3336247",60.073503,30.3336247,TRUE,"Парнас",725.121537587476,2298,"Санкт-Петербург, пос. Парголово, район Выборгский, Заречная ул.","ID:11656509","+7 812 389-69...","новостройка","кирпично-монолитный"," 2017 год",TRUE,"1-комнатная",39,14.7,11.7,21,27,FALSE,TRUE,FALSE,TRUE,"Парнас",5,"пешком",64872,2530000,"http://spb.cian.ru/sale/flat/143130481/","кирпично-монолитный","1-комнатная","Строится",2017-09-01,437,FALSE,FALSE,5,"пешком",2530981.42510252,0.04,981,2.2061963190184
1743,"ЖК «Северная Долина»","ГлавстройСпб","Строится"," IV квартал 2014 года ",43000,151000,"Санкт-Петербург, пос. Парголово, район Выборгский, ул. Валерия Гаврилина, 3А",13903.7491424309,"Парнас, 5 мин. пешком","60.073503:30.3336247",60.073503,30.3336247,TRUE,"Парнас",725.121537587476,2298,"Санкт-Петербург, пос. Парголово, район Выборгский, Заречная ул.","ID:11656509","+7 812 389-69...","новостройка","кирпично-монолитный"," 2017 год",TRUE,"1-комнатная",41,15,10.2,14,27,FALSE,TRUE,FALSE,TRUE,"Парнас",5,"пешком",61951,2540000,"http://spb.cian.ru/sale/flat/143133456/","кирпично-монолитный","1-комнатная","Строится",2017-09-01,437,FALSE,FALSE,5,"пешком",2658419.7245633,4.66,118420,2.2061963190184
1743,"ЖК «Северная Долина»","ГлавстройСпб","Строится"," IV квартал 2014 года ",43000,151000,"Санкт-Петербург, пос. Парголово, район Выборгский, ул. Валерия Гаврилина, 3А",13903.7491424309,"Парнас, 5 мин. пешком","60.073503:30.3336247",60.073503,30.3336247,TRUE,"Парнас",725.121537587476,2298,"Санкт-Петербург, пос. Парголово, район Выборгский, Заречная ул.","ID:11656509","+7 812 389-69...","новостройка","кирпично-монолитный"," 2017 год",TRUE,"1-комнатная",39,14.4,11,19,27,FALSE,TRUE,FALSE,TRUE,"Парнас",5,"пешком",65128,2540000,"http://spb.cian.ru/sale/flat/143133552/","кирпично-монолитный","1-комнатная","Строится",2017-09-01,437,FALSE,FALSE,5,"пешком",2537921.01889762,-0.08,-2079,2.2061963190184
1743,"ЖК «Северная Долина»","ГлавстройСпб","Строится"," IV квартал 2014 года ",43000,151000,"Санкт-Петербург, пос. Парголово, район Выборгский, ул. Валерия Гаврилина, 3А",13903.7491424309,"Парнас, 5 мин. пешком","60.073503:30.3336247",60.073503,30.3336247,TRUE,"Парнас",725.121537587476,2298,"Санкт-Петербург, пос. Парголово, район Выборгский, Заречная ул.","ID:11656509","+7 812 389-69...","новостройка","кирпично-монолитный"," 2017 год",TRUE,"1-комнатная",39,14.4,11.3,27,27,FALSE,TRUE,FALSE,TRUE,"Парнас",5,"пешком",65385,2550000,"http://spb.cian.ru/sale/flat/143133808/","кирпично-монолитный","1-комнатная","Строится",2017-09-01,437,TRUE,FALSE,5,"пешком",2616737.43087453,2.62,66737,2.2061963190184
1743,"ЖК «Северная Долина»","ГлавстройСпб","Строится"," IV квартал 2014 года ",43000,151000,"Санкт-Петербург, пос. Парголово, район Выборгский, ул. Валерия Гаврилина, 3А",13903.7491424309,"Парнас, 5 мин. пешком","60.073503:30.3336247",60.073503,30.3336247,TRUE,"Парнас",725.121537587476,2298,"Санкт-Петербург, пос. Парголово, район Выборгский, Заречная ул.","ID:11656509","+7 812 389-69...","новостройка","кирпично-монолитный"," 2017 год",TRUE,"1-комнатная",40,14.4,11,24,27,FALSE,TRUE,FALSE,TRUE,"Парнас",5,"пешком",63750,2550000,"http://spb.cian.ru/sale/flat/143133770/","кирпично-монолитный","1-комнатная","Строится",2017-09-01,437,FALSE,FALSE,5,"пешком",2549622.7012708,-0.01,-377,2.2061963190184
1743,"ЖК «Северная Долина»","ГлавстройСпб","Строится"," IV квартал 2014 года ",43000,151000,"Санкт-Петербург, пос. Парголово, район Выборгский, ул. Валерия Гаврилина, 3А",13903.7491424309,"Парнас, 5 мин. пешком","60.073503:30.3336247",60.073503,30.3336247,TRUE,"Парнас",725.121537587476,2298,"Санкт-Петербург, пос. Парголово, район Выборгский, Заречная ул.","ID:11656509","+7 812 389-69...","новостройка","кирпично-монолитный"," 2017 год",TRUE,"1-комнатная",40,14.7,11.9,9,27,FALSE,TRUE,FALSE,TRUE,"Парнас",5,"пешком",63500,2540000,"http://spb.cian.ru/sale/flat/143130275/","кирпично-монолитный","1-комнатная","Строится",2017-09-01,437,FALSE,FALSE,5,"пешком",2546236.38525349,0.25,6236,2.2061963190184
1743,"ЖК «Северная Долина»","ГлавстройСпб","Строится"," IV квартал 2014 года ",43000,151000,"Санкт-Петербург, пос. Парголово, район Выборгский, ул. Валерия Гаврилина, 3А",13903.7491424309,"Парнас, 5 мин. пешком","60.073503:30.3336247",60.073503,30.3336247,TRUE,"Парнас",725.121537587476,2298,"Санкт-Петербург, пос. Парголово, район Выборгский, Заречная ул.","ID:11656509","+7 812 389-69...","новостройка","кирпично-монолитный"," 2017 год",TRUE,"1-комнатная",40,14.4,11.3,15,27,FALSE,TRUE,FALSE,TRUE,"Парнас",5,"пешком",63750,2550000,"http://spb.cian.ru/sale/flat/143134149/","кирпично-монолитный","1-комнатная","Строится",2017-09-01,437,FALSE,FALSE,5,"пешком",2549251.15365175,-0.03,-749,2.2061963190184
1743,"ЖК «Северная Долина»","ГлавстройСпб","Строится"," IV квартал 2014 года ",43000,151000,"Санкт-Петербург, пос. Парголово, район Выборгский, ул. Валерия Гаврилина, 3А",13903.7491424309,"Парнас, 5 мин. пешком","60.073503:30.3336247",60.073503,30.3336247,TRUE,"Парнас",725.121537587476,2298,"Санкт-Петербург, пос. Парголово, район Выборгский, Заречная ул.","ID:11656509","+7 812 389-69...","новостройка","кирпично-монолитный"," 2017 год",TRUE,"1-комнатная",40,14.2,15.6,26,27,FALSE,TRUE,FALSE,TRUE,"Парнас",5,"пешком",64000,2560000,"http://spb.cian.ru/sale/flat/143130135/","кирпично-монолитный","1-комнатная","Строится",2017-09-01,437,FALSE,FALSE,5,"пешком",2580859.15365175,0.81,20859,2.2061963190184
1743,"ЖК «Северная Долина»","ГлавстройСпб","Строится"," IV квартал 2014 года ",43000,151000,"Санкт-Петербург, пос. Парголово, район Выборгский, ул. Валерия Гаврилина, 3А",13903.7491424309,"Парнас, 5 мин. пешком","60.073503:30.3336247",60.073503,30.3336247,TRUE,"Парнас",725.121537587476,2298,"Санкт-Петербург, пос. Парголово, район Выборгский, Заречная ул.","ID:11656509","+7 812 389-69...","новостройка","кирпично-монолитный"," 2017 год",TRUE,"1-комнатная",40,14.2,15.8,23,27,FALSE,TRUE,FALSE,TRUE,"Парнас",5,"пешком",64250,2570000,"http://spb.cian.ru/sale/flat/143130367/","кирпично-монолитный","1-комнатная","Строится",2017-09-01,437,FALSE,FALSE,5,"пешком",2571578.70920731,0.06,1579,2.2061963190184
